zhangjiafen	1966-1-1	4.69	6.747	0	0.014	0.034	1.4	0	0	0.067	0.003	0.032	7.788	0.003	0.053
zhangjiafen	1966-1-2	4.78	6.763	0	0.011	0.009	0.4	0	0	0.067	0.001	0.009	7.662	0.002	0.052
zhangjiafen	1966-1-3	4.45	6.771	0	0.009	0.021	0.9	0	0	0.067	0.001	0.02	7.526	0.001	0.051
zhangjiafen	1966-1-4	4.39	6.768	0	0.007	0.023	1	0	0	0.067	0.001	0.022	7.387	0.001	0.05
zhangjiafen	1966-1-5	4.44	6.759	0	0.005	0.036	1.6	0	0	0.067	0.001	0.035	7.237	0.001	0.049
zhangjiafen	1966-1-6	4.81	6.748	0	0.005	0.02	0.9	0	0	0.067	0	0.019	7.102	0	0.048
zhangjiafen	1966-1-7	5.31	6.736	0.25	0.198	0.043	1	0	0.004	0.067	0.021	0.021	6.999	0.032	0.047
zhangjiafen	1966-1-8	5.55	6.752	0.172	0.31	0.011	0.2	0	0.005	0.067	0.006	0.004	6.928	0.047	0.047
zhangjiafen	1966-1-9	5.39	6.804	0	0.226	0.049	0.9	0	0.005	0.067	0.03	0.019	6.845	0.049	0.046
zhangjiafen	1966-1-10	6.44	6.882	0	0.16	0.038	0.8	0	0.004	0.067	0.022	0.017	6.755	0.04	0.046
zhangjiafen	1966-1-11	6.15	6.96	0	0.116	0.028	0.7	0	0.003	0.067	0.013	0.015	6.656	0.028	0.045
zhangjiafen	1966-1-12	6.21	7.013	0	0.073	0.049	1.4	0	0.002	0.067	0.02	0.029	6.537	0.021	0.044
zhangjiafen	1966-1-13	6.71	7.034	0	0.045	0.044	1.5	0	0.001	0.067	0.014	0.031	6.409	0.013	0.043
zhangjiafen	1966-1-14	6.4	7.026	0	0.03	0.036	1.4	0	0.001	0.067	0.007	0.028	6.279	0.008	0.043
zhangjiafen	1966-1-15	7.03	6.996	0	0.02	0.03	1.3	0	0.001	0.067	0.004	0.026	6.149	0.005	0.042
zhangjiafen	1966-1-16	7.35	6.954	0	0.014	0.029	1.3	0	0	0.067	0.003	0.026	6.019	0.003	0.041
zhangjiafen	1966-1-17	6.66	6.909	0	0.01	0.015	0.7	0	0	0.067	0.001	0.014	5.9	0.002	0.04
zhangjiafen	1966-1-18	6.35	6.865	0	0.008	0.016	0.8	0	0	0.067	0.001	0.015	5.78	0.002	0.039
zhangjiafen	1966-1-19	6.29	6.826	0	0.006	0.018	0.9	0	0	0.067	0.001	0.017	5.658	0.001	0.038
zhangjiafen	1966-1-20	6.75	6.794	0	0.005	0.013	0.7	0	0	0.067	0	0.013	5.541	0	0.037
zhangjiafen	1966-1-21	6.59	6.768	0	0.005	0.015	0.8	0	0	0.067	0	0.015	5.423	0	0.037
zhangjiafen	1966-1-22	8.88	6.748	0	0.005	0.019	1	0	0	0.067	0	0.019	5.301	0	0.036
zhangjiafen	1966-1-23	8.24	6.733	0.215	0.175	0.032	0.9	0	0.003	0.067	0.016	0.016	5.209	0.026	0.035
zhangjiafen	1966-1-24	6.9	6.742	0.068	0.175	0.044	1	0	0.004	0.067	0.026	0.018	5.127	0.038	0.035
zhangjiafen	1966-1-25	6.37	6.797	0.002	0.115	0.051	1.3	0	0.003	0.067	0.028	0.023	5.034	0.031	0.034
zhangjiafen	1966-1-26	6.14	6.868	0.012	0.089	0.027	0.8	0	0.003	0.067	0.013	0.014	4.942	0.023	0.033
zhangjiafen	1966-1-27	5.27	6.917	0	0.057	0.03	1	0	0.002	0.067	0.012	0.018	4.843	0.018	0.033
