	Isample	g1	g2	Kr	KAW	AW0	Var
5082	    0.2846	    0.2850	    0.0680	    1.5740	   29.4650	    0.0851
5083	    0.2846	    0.3220	    0.0680	    1.5740	   29.4650	    0.0851
5084	    0.2846	    0.3220	    0.0680	    1.5740	   29.4650	    0.0851
5085	    0.2846	    0.3220	    0.0680	    1.5490	   29.4650	    0.0851
5086	    0.2846	    0.3220	    0.0680	    1.5490	   29.4650	    0.0851
5087	    0.2846	    0.3220	    0.0690	    1.5490	   29.4650	    0.0851
5088	    0.2846	    0.3220	    0.0690	    1.5490	   29.4650	    0.0851
5089	    0.2846	    0.3220	    0.0690	    1.5880	   29.4650	    0.0851
5090	    0.2846	    0.3060	    0.0690	    1.5880	   29.4650	    0.0851
5091	    0.2846	    0.3060	    0.0690	    1.5880	   29.4650	    0.0440
5092	    0.2846	    0.3060	    0.0690	    1.5880	   29.4530	    0.0440
5093	    0.2846	    0.2970	    0.0690	    1.5880	   29.4530	    0.0440
5094	    0.2846	    0.2970	    0.0690	    1.5430	   29.4530	    0.0440
5095	    0.2846	    0.2550	    0.0690	    1.5430	   29.4530	    0.0440
5096	    0.2846	    0.2550	    0.0690	    1.5430	   29.4700	    0.0440
5097	    0.2846	    0.2550	    0.0690	    1.5430	   29.4700	    0.0440
5098	    0.2846	    0.2550	    0.0690	    1.5300	   29.4700	    0.0440
5099	    0.2846	    0.2550	    0.0690	    1.5300	   29.4710	    0.0440
5100	    0.2846	    0.2550	    0.0690	    1.5300	   29.4710	    0.0440
5101	    0.2846	    0.2550	    0.0690	    1.5300	   29.4710	    0.0440
5102	    0.2846	    0.2550	    0.0690	    1.5300	   29.4710	    0.0440
5103	    0.2846	    0.2550	    0.0690	    1.4870	   29.4710	    0.0440
5104	    0.2806	    0.2550	    0.0690	    1.4870	   29.4710	    0.0440
5105	    0.2806	    0.2550	    0.0690	    1.4870	   29.4710	    0.0440
5106	    0.2806	    0.2550	    0.0690	    1.4870	   29.4710	    0.0440
5107	    0.2806	    0.2550	    0.0690	    1.4870	   29.4710	    0.0440
5108	    0.2806	    0.2550	    0.0690	    1.4870	   29.4710	    0.0440
5109	    0.2806	    0.2550	    0.0690	    1.4870	   29.5050	    0.0440
5110	    0.2806	    0.2550	    0.0690	    1.4870	   29.5050	    0.0440
5111	    0.2806	    0.2050	    0.0690	    1.4870	   29.5050	    0.0440
5112	    0.2806	    0.2050	    0.0690	    1.4500	   29.5050	    0.0440
5113	    0.2806	    0.2050	    0.0830	    1.4500	   29.5050	    0.0440
5114	    0.2806	    0.2050	    0.0830	    1.4500	   29.5070	    0.0440
5115	    0.2806	    0.2050	    0.0830	    1.4490	   29.5070	    0.0440
5116	    0.2466	    0.2050	    0.0830	    1.4490	   29.5070	    0.0440
5117	    0.2466	    0.2050	    0.0830	    1.4490	   29.5070	    0.0440
5118	    0.2466	    0.2050	    0.0830	    1.4490	   29.5070	    0.0440
5119	    0.2246	    0.2050	    0.0830	    1.4490	   29.5070	    0.0440
5120	    0.2246	    0.2050	    0.0830	    1.4490	   29.5070	    0.0440
5121	    0.2246	    0.2050	    0.0830	    1.4360	   29.5070	    0.0440
5122	    0.2246	    0.2050	    0.0830	    1.4360	   29.4820	    0.0440
5123	    0.2246	    0.2050	    0.0830	    1.4360	   29.4820	    0.0440
5124	    0.2246	    0.2050	    0.0830	    1.4360	   29.4820	    0.0440
5125	    0.2246	    0.2050	    0.0830	    1.4360	   29.4820	    0.0297
5126	    0.2246	    0.2050	    0.0830	    1.4360	   29.4820	    0.0297
5127	    0.2246	    0.2050	    0.0830	    1.4360	   29.4820	    0.0129
5128	    0.2246	    0.2050	    0.0830	    1.4360	   29.4820	    0.0129
5129	    0.2246	    0.2050	    0.0830	    1.4460	   29.4820	    0.0129
5130	    0.2246	    0.2050	    0.0830	    1.4460	   29.4820	    0.0663
5131	    0.2246	    0.2050	    0.0830	    1.4460	   29.4820	    0.0913
5132	    0.2246	    0.2050	    0.0830	    1.4460	   29.4820	    0.1233
5133	    0.2656	    0.2050	    0.0830	    1.4460	   29.4820	    0.1233
5134	    0.2656	    0.2050	    0.0830	    1.4250	   29.4820	    0.1233
5135	    0.2656	    0.2050	    0.0830	    1.4250	   29.4890	    0.1233
5136	    0.2656	    0.2050	    0.0830	    1.4250	   29.4890	    0.1233
5137	    0.2656	    0.1670	    0.0830	    1.4250	   29.4890	    0.1233
5138	    0.2656	    0.1670	    0.0830	    1.4080	   29.4890	    0.1233
5139	    0.2656	    0.1670	    0.0830	    1.4080	   29.5380	    0.1233
5140	    0.2326	    0.1670	    0.0830	    1.4080	   29.5380	    0.1233
5141	    0.2326	    0.1670	    0.0830	    1.4080	   29.5380	    0.1503
5142	    0.2326	    0.1670	    0.0870	    1.4080	   29.5380	    0.1503
5143	    0.2156	    0.1670	    0.0870	    1.4080	   29.5380	    0.1503
5144	    0.2156	    0.1670	    0.0870	    1.4490	   29.5380	    0.1503
5145	    0.2156	    0.1670	    0.0870	    1.4490	   29.5380	    0.1503
5146	    0.2156	    0.1670	    0.0870	    1.4220	   29.5380	    0.1503
5147	    0.2156	    0.1670	    0.0870	    1.4630	   29.5380	    0.1503
5148	    0.2156	    0.1670	    0.0870	    1.4630	   29.5380	    0.1193
5149	    0.2156	    0.1670	    0.0870	    1.4630	   29.5380	    0.1193
5150	    0.2156	    0.1170	    0.0870	    1.4630	   29.5380	    0.1193
5151	    0.2406	    0.1170	    0.0870	    1.4630	   29.5380	    0.1193
5152	    0.2406	    0.1180	    0.0870	    1.4630	   29.5380	    0.1193
5153	    0.2406	    0.1180	    0.0870	    1.4630	   29.5110	    0.1193
5154	    0.2406	    0.1180	    0.0870	    1.4630	   29.5110	    0.1193
5155	    0.2406	    0.1180	    0.0870	    1.4630	   29.4960	    0.1193
5156	    0.2146	    0.1180	    0.0870	    1.4630	   29.4960	    0.1193
5157	    0.2146	    0.1180	    0.0870	    1.4630	   29.5120	    0.1193
5158	    0.2146	    0.1180	    0.0870	    1.4630	   29.5340	    0.1193
5159	    0.2146	    0.1180	    0.0870	    1.4630	   29.4970	    0.1193
5160	    0.2146	    0.1180	    0.0870	    1.4740	   29.4970	    0.1193
5161	    0.2496	    0.1180	    0.0870	    1.4740	   29.4970	    0.1193
5162	    0.2496	    0.1180	    0.0870	    1.4720	   29.4970	    0.1193
5163	    0.2496	    0.1180	    0.0870	    1.4720	   29.4970	    0.0793
5164	    0.2496	    0.1180	    0.0870	    1.4720	   29.4970	    0.0353
5165	    0.2496	    0.1180	    0.0870	    1.4720	   29.4970	    0.0353
5166	    0.2496	    0.1180	    0.0870	    1.4720	   29.4970	    0.0465
5167	    0.2496	    0.1180	    0.0890	    1.4720	   29.4970	    0.0465
5168	    0.2496	    0.1180	    0.0890	    1.4720	   29.4970	    0.0465
5169	    0.2496	    0.1180	    0.0890	    1.5180	   29.4970	    0.0465
5170	    0.2496	    0.1180	    0.0890	    1.5180	   29.4970	    0.0465
5171	    0.2496	    0.1180	    0.0890	    1.5180	   29.4970	    0.0020
5172	    0.2496	    0.1180	    0.0890	    1.5180	   29.4970	    0.0465
5173	    0.2516	    0.1180	    0.0890	    1.5180	   29.4970	    0.0465
5174	    0.2516	    0.1180	    0.0890	    1.5180	   29.5160	    0.0465
5175	    0.2516	    0.1180	    0.0890	    1.5180	   29.5160	    0.0951
5176	    0.2516	    0.1180	    0.0890	    1.5340	   29.5160	    0.0951
5177	    0.2516	    0.1180	    0.0890	    1.5340	   29.5160	    0.0951
5178	    0.2516	    0.1180	    0.0890	    1.5340	   29.5550	    0.0951
5179	    0.2676	    0.1180	    0.0890	    1.5340	   29.5550	    0.0951
5180	    0.2316	    0.1180	    0.0890	    1.5340	   29.5550	    0.0951
5181	    0.2316	    0.1180	    0.0890	    1.5340	   29.5550	    0.0951
5182	    0.2316	    0.1180	    0.0890	    1.5340	   29.5550	    0.0951
5183	    0.2316	    0.1180	    0.0890	    1.5340	   29.5550	    0.1121
5184	    0.2316	    0.1430	    0.0890	    1.5340	   29.5550	    0.1121
5185	    0.2316	    0.1430	    0.0890	    1.5340	   29.5550	    0.1121
5186	    0.2316	    0.1430	    0.0890	    1.5340	   29.5640	    0.1121
5187	    0.2316	    0.1430	    0.0890	    1.4870	   29.5640	    0.1121
5188	    0.2316	    0.1430	    0.0890	    1.4870	   29.5640	    0.1121
5189	    0.2316	    0.1430	    0.0890	    1.4870	   29.5640	    0.0831
5190	    0.2316	    0.1430	    0.0890	    1.4870	   29.5540	    0.0831
5191	    0.2316	    0.1430	    0.0890	    1.4980	   29.5540	    0.0831
5192	    0.2316	    0.1430	    0.0890	    1.4890	   29.5540	    0.0831
5193	    0.2316	    0.1890	    0.0890	    1.4890	   29.5540	    0.0831
5194	    0.2316	    0.1890	    0.0890	    1.4890	   29.5420	    0.0831
5195	    0.2316	    0.1890	    0.0890	    1.5320	   29.5420	    0.0831
5196	    0.2316	    0.1890	    0.0890	    1.5320	   29.5420	    0.0831
5197	    0.2316	    0.1890	    0.0890	    1.5320	   29.5420	    0.0831
5198	    0.2316	    0.1890	    0.0890	    1.5320	   29.5420	    0.0831
5199	    0.2316	    0.1890	    0.0890	    1.5320	   29.5420	    0.0831
5200	    0.2316	    0.1890	    0.0890	    1.5320	   29.5420	    0.0831
5201	    0.2316	    0.1890	    0.0890	    1.5320	   29.5090	    0.0831
5202	    0.2316	    0.1890	    0.0890	    1.5320	   29.4880	    0.0831
5203	    0.2316	    0.1890	    0.0890	    1.5320	   29.4880	    0.0531
5204	    0.2316	    0.1890	    0.0890	    1.5320	   29.4880	    0.0531
5205	    0.2316	    0.1890	    0.0890	    1.5320	   29.5280	    0.0531
5206	    0.2316	    0.1410	    0.0890	    1.5320	   29.5280	    0.0531
5207	    0.2316	    0.1710	    0.0890	    1.5320	   29.5280	    0.0531
5208	    0.2316	    0.1710	    0.0890	    1.5320	   29.5580	    0.0531
5209	    0.2316	    0.1710	    0.0890	    1.5320	   29.5580	    0.0531
5210	    0.2316	    0.1710	    0.0890	    1.5320	   29.6010	    0.0531
5211	    0.2316	    0.1710	    0.0660	    1.5320	   29.6010	    0.0531
5212	    0.2316	    0.1710	    0.0660	    1.5320	   29.6010	    0.0531
5213	    0.2316	    0.1710	    0.0660	    1.5320	   29.6010	    0.0531
5214	    0.2316	    0.1710	    0.0660	    1.5320	   29.6230	    0.0531
5215	    0.2316	    0.1710	    0.0660	    1.5320	   29.5930	    0.0531
5216	    0.2316	    0.1710	    0.0660	    1.5320	   29.5970	    0.0531
5217	    0.2496	    0.1710	    0.0660	    1.5320	   29.5970	    0.0531
5218	    0.2496	    0.1710	    0.0660	    1.5320	   29.6250	    0.0531
5219	    0.2496	    0.1710	    0.0660	    1.5320	   29.6250	    0.0531
5220	    0.2496	    0.1710	    0.0660	    1.5320	   29.6250	    0.0531
5221	    0.2496	    0.1710	    0.0660	    1.5320	   29.6250	    0.0800
5222	    0.2496	    0.1710	    0.0650	    1.5320	   29.6250	    0.0800
5223	    0.2496	    0.1970	    0.0650	    1.5320	   29.6250	    0.0800
