rel	coordx	coordy
0	871514.081	4511814.5418
0	935514.081	4420314.5418
0	986014.081	4422814.5418
0	871514.081	4514314.5418
0	871014.081	4511814.5418
0	871514.081	4512814.5418
0	862014.081	4478814.5418
0	871514.081	4512314.5418
0	871514.081	4513314.5418
0	871514.081	4513814.5418
0	871014.081	4511314.5418
0	985514.081	4422814.5418
