dushikou 	0.67	0.83	0.8	1.3	1.3	1.07
gangfangyao	0.62	0.83	0.7	1.1	1.3	1.21
maying	0.77	0.88	0.6	1.3	1.3	1.04
maoyupu	0.72	0.85	0.6	1.2	1.3	1.08
hulonggou	0.75	0.87	0.6	1.4	1.4	0.99
yunzhousk	0.88	0.94	0.5	1.3	1.3	1.01
zhenanpu	0.81	0.91	0.6	1.3	1.4	1.15
zhenningpu	0.85	0.92	0.6	1.2	1.4	1.11
yangtian	0.78	0.89	0.6	1.4	1.4	1.01
zhuanlou	0.75	0.86	0.7	1.5	1.4	0.94
paoliang	0.78	0.89	0.6	1.3	1.4	1.10
longguan	0.40	0.64	0.9	1.6	1.4	0.85
tianjiayao	0.60	0.78	0.8	1.4	1.4	0.98
dongshanmiao	0.56	0.84	0.7	1.0	1.4	1.34
diaoe	0.59	0.77	0.9	1.3	1.3	1.01
shangzhuangzi	0.83	0.91	0.7	1.3	1.4	1.06
nanbuzi	0.84	0.92	0.6	1.2	1.4	1.15
xiapu	0.92	0.96	0.5	1.4	1.5	1.09
baihepu	0.75	0.87	0.8	1.7	1.5	0.87
wanquansi	0.89	0.94	0.5	1.4	1.4	1.04
shicao	0.83	0.94	0.8	1.8	1.5	0.86
qianjiadian	0.87	0.93	0.6	1.4	1.6	1.11
heilongshan	0.87	0.93	0.6	1.5	1.5	0.98
qingyanggou	0.81	0.91	0.7	1.6	1.4	0.85
baichao	0.86	0.93	0.5	1.5	1.5	1.02
sidaogou	0.92	0.96	0.5	1.5	1.5	0.99
dongwankou	0.84	0.91	0.6	1.4	1.5	1.01
qiansongtai	0.73	0.87	1.0	2.0	1.5	0.75
hedaziying	0.78	0.91	0.6	1.3	1.5	1.15
dongmao	0.89	0.94	0.6	1.4	1.5	1.04
sandaoying	0.88	0.96	0.6	1.7	1.5	0.89
sihai	0.73	0.86	1.1	1.6	1.5	0.94
baoshansi	0.75	0.87	0.8	1.3	1.7	1.31
daodekeng	0.72	0.85	1.0	1.7	1.5	0.92
dengjiashanzi	0.81	0.90	0.7	1.5	1.5	1.05
sandaohe	0.65	0.81	1.0	1.6	1.6	0.98
labagoumen	0.72	0.87	1.1	2.0	1.6	0.81
xiaoliangqian	0.35	0.69	1.1	1.5	1.7	1.10
changshaoying	0.80	0.91	1.0	1.9	1.7	0.88
tanghekou	0.83	0.92	0.8	1.9	1.5	0.81
qifengcha	0.65	0.83	1.0	1.2	1.6	1.39
liulimiao	0.82	0.91	0.8	1.6	1.5	0.95
zhangjiafen	0.74	0.90	1.1	2.3	1.6	0.69
