liulimiao	1	1.4	-9.7	0	-0.430
liulimiao	2	1.4	-5.7	0	-0.440
liulimiao	3	4.0	2.0	0.003	-0.520
liulimiao	4	5.1	9.6	0.010	-0.590
liulimiao	5	13.0	15.5	0.045	-0.640
liulimiao	6	21.1	19.3	0.087	-0.660
liulimiao	7	27.6	21.3	0.117	-0.620
liulimiao	8	28.8	20.3	0.087	-0.610
liulimiao	9	16.8	14.5	0.050	-0.550
liulimiao	10	4.7	6.9	0.010	-0.500
liulimiao	11	2.3	-1.3	0	-0.530
liulimiao	12	1.4	-8.0	0	-0.430
