id	rel	coordx	coordy
2499	0	872014.081	4513814.5418
36026	0	985514.081	4422814.5418
2495	0	872014.081	4511814.5418
2494	0	872014.081	4511314.5418
2500	0	872014.081	4514314.5418
2496	0	872014.081	4512314.5418
2497	0	872014.081	4512814.5418
2294	0	871514.081	4511314.5418
2498	0	872014.081	4513314.5418
