871514.0810	4517314.5418	3.00
872014.0810	4517314.5418	10.00
872514.0810	4517314.5418	9.00
873014.0810	4517314.5418	3.00
871514.0810	4516814.5418	3.00
872014.0810	4516814.5418	10.00
872514.0810	4516814.5418	10.00
873014.0810	4516814.5418	4.00
873514.0810	4516814.5418	2.00
871014.0810	4516314.5418	2.00
871514.0810	4516314.5418	4.00
872014.0810	4516314.5418	9.00
872514.0810	4516314.5418	12.00
873014.0810	4516314.5418	9.00
873514.0810	4516314.5418	4.00
874014.0810	4516314.5418	2.00
871014.0810	4515814.5418	2.00
871514.0810	4515814.5418	4.00
872014.0810	4515814.5418	10.00
872514.0810	4515814.5418	11.00
873014.0810	4515814.5418	10.00
873514.0810	4515814.5418	8.00
874014.0810	4515814.5418	4.00
874514.0810	4515814.5418	2.00
871514.0810	4515314.5418	2.00
872014.0810	4515314.5418	5.00
872514.0810	4515314.5418	11.00
873014.0810	4515314.5418	12.00
873514.0810	4515314.5418	9.00
874014.0810	4515314.5418	8.00
874514.0810	4515314.5418	4.00
875014.0810	4515314.5418	3.00
875514.0810	4515314.5418	2.00
872014.0810	4514814.5418	4.00
872514.0810	4514814.5418	12.00
873014.0810	4514814.5418	8.00
873514.0810	4514814.5418	9.00
874014.0810	4514814.5418	8.00
874514.0810	4514814.5418	9.00
875014.0810	4514814.5418	9.00
875514.0810	4514814.5418	4.00
876014.0810	4514814.5418	3.00
876514.0810	4514814.5418	3.00
877014.0810	4514814.5418	3.00
877514.0810	4514814.5418	3.00
878014.0810	4514814.5418	2.00
872014.0810	4514314.5418	3.00
872514.0810	4514314.5418	13.00
873014.0810	4514314.5418	9.00
873514.0810	4514314.5418	8.00
874014.0810	4514314.5418	9.00
874514.0810	4514314.5418	9.00
875014.0810	4514314.5418	11.00
875514.0810	4514314.5418	10.00
876014.0810	4514314.5418	8.00
876514.0810	4514314.5418	10.00
877014.0810	4514314.5418	9.00
877514.0810	4514314.5418	8.00
878014.0810	4514314.5418	3.00
872014.0810	4513814.5418	3.00
872514.0810	4513814.5418	11.00
873014.0810	4513814.5418	12.00
873514.0810	4513814.5418	10.00
874014.0810	4513814.5418	10.00
874514.0810	4513814.5418	9.00
875014.0810	4513814.5418	12.00
875514.0810	4513814.5418	7.00
876014.0810	4513814.5418	9.00
876514.0810	4513814.5418	10.00
877014.0810	4513814.5418	8.00
877514.0810	4513814.5418	9.00
878014.0810	4513814.5418	3.00
872014.0810	4513314.5418	3.00
872514.0810	4513314.5418	14.00
873014.0810	4513314.5418	12.00
873514.0810	4513314.5418	14.00
874014.0810	4513314.5418	11.00
874514.0810	4513314.5418	10.00
875014.0810	4513314.5418	13.00
875514.0810	4513314.5418	8.00
876014.0810	4513314.5418	11.00
876514.0810	4513314.5418	10.00
877014.0810	4513314.5418	8.00
877514.0810	4513314.5418	10.00
878014.0810	4513314.5418	3.00
872014.0810	4512814.5418	3.00
873014.0810	4512814.5418	15.00
873514.0810	4512814.5418	11.00
874014.0810	4512814.5418	12.00
874514.0810	4512814.5418	12.00
875014.0810	4512814.5418	11.00
875514.0810	4512814.5418	13.00
876014.0810	4512814.5418	19.00
876514.0810	4512814.5418	15.00
877014.0810	4512814.5418	12.00
877514.0810	4512814.5418	11.00
878014.0810	4512814.5418	4.00
878514.0810	4512814.5418	2.00
872014.0810	4512314.5418	3.00
872514.0810	4512314.5418	18.00
873014.0810	4512314.5418	12.00
873514.0810	4512314.5418	10.00
874014.0810	4512314.5418	11.00
874514.0810	4512314.5418	13.00
875014.0810	4512314.5418	11.00
875514.0810	4512314.5418	13.00
876014.0810	4512314.5418	14.00
876514.0810	4512314.5418	14.00
877014.0810	4512314.5418	12.00
877514.0810	4512314.5418	13.00
878014.0810	4512314.5418	9.00
878514.0810	4512314.5418	4.00
879014.0810	4512314.5418	2.00
872014.0810	4511814.5418	3.00
872514.0810	4511814.5418	13.00
873014.0810	4511814.5418	11.00
873514.0810	4511814.5418	10.00
874014.0810	4511814.5418	11.00
874514.0810	4511814.5418	13.00
875014.0810	4511814.5418	13.00
875514.0810	4511814.5418	8.00
876014.0810	4511814.5418	8.00
876514.0810	4511814.5418	8.00
877014.0810	4511814.5418	8.00
877514.0810	4511814.5418	9.00
878014.0810	4511814.5418	10.00
878514.0810	4511814.5418	8.00
879014.0810	4511814.5418	3.00
871514.0810	4511314.5418	2.00
872014.0810	4511314.5418	5.00
872514.0810	4511314.5418	12.00
873014.0810	4511314.5418	10.00
873514.0810	4511314.5418	11.00
874014.0810	4511314.5418	11.00
874514.0810	4511314.5418	13.00
875014.0810	4511314.5418	14.00
875514.0810	4511314.5418	9.00
876014.0810	4511314.5418	8.00
876514.0810	4511314.5418	8.00
877014.0810	4511314.5418	7.00
877514.0810	4511314.5418	9.00
878014.0810	4511314.5418	14.00
878514.0810	4511314.5418	10.00
879014.0810	4511314.5418	4.00
879514.0810	4511314.5418	2.00
871514.0810	4510814.5418	3.00
872014.0810	4510814.5418	12.00
872514.0810	4510814.5418	10.00
873014.0810	4510814.5418	11.00
873514.0810	4510814.5418	12.00
874014.0810	4510814.5418	13.00
874514.0810	4510814.5418	16.00
875014.0810	4510814.5418	23.00
875514.0810	4510814.5418	15.00
876014.0810	4510814.5418	10.00
876514.0810	4510814.5418	9.00
877014.0810	4510814.5418	9.00
877514.0810	4510814.5418	10.00
878014.0810	4510814.5418	9.00
878514.0810	4510814.5418	8.00
879014.0810	4510814.5418	9.00
879514.0810	4510814.5418	3.00
871514.0810	4510314.5418	3.00
872014.0810	4510314.5418	8.00
