coordx	coordy	rank
865014.0810	4434814.5418	302
865014.0810	4435314.5418	301
865014.0810	4435814.5418	300
865014.0810	4436314.5418	299
865014.0810	4436814.5418	299
865014.0810	4437314.5418	299
865014.0810	4437814.5418	299
865014.0810	4438314.5418	299
865014.0810	4438814.5418	300
865014.0810	4439314.5418	303
865014.0810	4439814.5418	303
865014.0810	4440314.5418	302
865014.0810	4440814.5418	302
865014.0810	4441314.5418	301
865014.0810	4441814.5418	301
865014.0810	4442314.5418	301
865014.0810	4442814.5418	301
865014.0810	4443314.5418	301
865014.0810	4443814.5418	301
865014.0810	4444314.5418	301
865014.0810	4461814.5418	320
865014.0810	4462314.5418	319
865014.0810	4469814.5418	350
865014.0810	4470314.5418	349
865014.0810	4470814.5418	348
865014.0810	4471314.5418	347
865014.0810	4471814.5418	346
865014.0810	4472314.5418	345
865014.0810	4472814.5418	344
865014.0810	4473314.5418	344
865014.0810	4473814.5418	342
865014.0810	4474314.5418	342
865014.0810	4474814.5418	342
865014.0810	4475314.5418	342
865014.0810	4475814.5418	343
865014.0810	4476314.5418	342
865014.0810	4476814.5418	342
865014.0810	4477314.5418	344
865014.0810	4477814.5418	344
865014.0810	4478314.5418	345
865014.0810	4478814.5418	345
865014.0810	4479314.5418	345
865014.0810	4479814.5418	346
865014.0810	4480314.5418	347
865014.0810	4480814.5418	348
865014.0810	4481314.5418	349
865014.0810	4481814.5418	344
865014.0810	4482314.5418	346
865014.0810	4482814.5418	346
865014.0810	4483314.5418	346
865014.0810	4483814.5418	346
865014.0810	4484314.5418	356
865014.0810	4484814.5418	355
865014.0810	4485314.5418	353
865014.0810	4485814.5418	351
865014.0810	4486314.5418	350
865014.0810	4486814.5418	350
865014.0810	4487314.5418	349
865014.0810	4487814.5418	349
865014.0810	4488314.5418	350
865014.0810	4488814.5418	349
865014.0810	4489314.5418	349
865014.0810	4489814.5418	349
865014.0810	4490314.5418	350
865014.0810	4490814.5418	352
865014.0810	4491314.5418	356
865014.0810	4491814.5418	356
865014.0810	4492314.5418	356
865014.0810	4492814.5418	357
865014.0810	4493314.5418	356
865014.0810	4493814.5418	356
865014.0810	4494314.5418	362
865014.0810	4494814.5418	361
865014.0810	4495314.5418	361
865014.0810	4495814.5418	364
865014.0810	4496314.5418	364
865014.0810	4496814.5418	363
865014.0810	4497314.5418	363
865014.0810	4497814.5418	363
865014.0810	4498314.5418	363
865014.0810	4498814.5418	363
865014.0810	4499314.5418	365
865014.0810	4499814.5418	365
865514.0810	4434814.5418	302
865514.0810	4435314.5418	301
865514.0810	4435814.5418	300
865514.0810	4436314.5418	299
865514.0810	4436814.5418	298
865514.0810	4437314.5418	298
865514.0810	4437814.5418	298
865514.0810	4438314.5418	298
865514.0810	4438814.5418	299
865514.0810	4439314.5418	302
865514.0810	4439814.5418	302
865514.0810	4440314.5418	301
865514.0810	4440814.5418	301
865514.0810	4441314.5418	300
865514.0810	4441814.5418	300
865514.0810	4442314.5418	300
865514.0810	4442814.5418	300
865514.0810	4443314.5418	300
865514.0810	4443814.5418	300
865514.0810	4444314.5418	300
865514.0810	4461814.5418	320
865514.0810	4462314.5418	319
865514.0810	4462814.5418	318
865514.0810	4463314.5418	318
865514.0810	4463814.5418	318
865514.0810	4469814.5418	350
865514.0810	4470314.5418	349
865514.0810	4470814.5418	348
865514.0810	4471314.5418	347
865514.0810	4471814.5418	346
865514.0810	4472314.5418	345
865514.0810	4472814.5418	344
865514.0810	4473314.5418	343
865514.0810	4473814.5418	342
865514.0810	4474314.5418	341
865514.0810	4474814.5418	341
865514.0810	4475314.5418	341
865514.0810	4475814.5418	341
865514.0810	4476314.5418	341
865514.0810	4476814.5418	342
865514.0810	4477314.5418	342
865514.0810	4477814.5418	343
865514.0810	4478314.5418	344
865514.0810	4478814.5418	344
865514.0810	4479314.5418	345
865514.0810	4479814.5418	346
865514.0810	4480314.5418	347
865514.0810	4480814.5418	341
865514.0810	4481314.5418	341
865514.0810	4481814.5418	343
865514.0810	4482314.5418	345
865514.0810	4482814.5418	345
865514.0810	4483314.5418	345
865514.0810	4483814.5418	345
865514.0810	4484314.5418	345
865514.0810	4484814.5418	350
865514.0810	4485314.5418	350
865514.0810	4485814.5418	351
865514.0810	4486314.5418	350
865514.0810	4486814.5418	349
865514.0810	4487314.5418	348
865514.0810	4487814.5418	349
865514.0810	4488314.5418	348
865514.0810	4488814.5418	348
865514.0810	4489314.5418	348
865514.0810	4489814.5418	349
865514.0810	4490314.5418	350
865514.0810	4490814.5418	355
865514.0810	4491314.5418	355
865514.0810	4491814.5418	355
865514.0810	4492314.5418	356
865514.0810	4492814.5418	355
865514.0810	4493314.5418	355
865514.0810	4493814.5418	356
865514.0810	4494314.5418	358
865514.0810	4494814.5418	360
865514.0810	4495314.5418	360
865514.0810	4495814.5418	360
865514.0810	4496314.5418	363
865514.0810	4496814.5418	362
865514.0810	4497314.5418	362
865514.0810	4497814.5418	362
865514.0810	4498314.5418	362
865514.0810	4498814.5418	363
865514.0810	4499314.5418	364
865514.0810	4499814.5418	364
865514.0810	4500314.5418	365
866014.0810	4430814.5418	300
866014.0810	4431314.5418	300
866014.0810	4431814.5418	300
866014.0810	4434814.5418	300
866014.0810	4435314.5418	299
866014.0810	4435814.5418	298
866014.0810	4436314.5418	298
866014.0810	4436814.5418	298
866014.0810	4437314.5418	297
866014.0810	4437814.5418	297
866014.0810	4438314.5418	298
866014.0810	4438814.5418	299
866014.0810	4439314.5418	302
866014.0810	4439814.5418	301
866014.0810	4440314.5418	300
866014.0810	4440814.5418	300
866014.0810	4441314.5418	299
866014.0810	4441814.5418	299
866014.0810	4442314.5418	299
866014.0810	4442814.5418	299
866014.0810	4443314.5418	300
866014.0810	4443814.5418	299
866014.0810	4444314.5418	299
866014.0810	4444814.5418	299
866014.0810	4445314.5418	299
866014.0810	4445814.5418	300
866014.0810	4456314.5418	317
866014.0810	4456814.5418	317
866014.0810	4457314.5418	317
866014.0810	4457814.5418	317
866014.0810	4461814.5418	320
866014.0810	4462314.5418	318
866014.0810	4462814.5418	317
866014.0810	4463314.5418	317
866014.0810	4463814.5418	317
866014.0810	4464314.5418	317
866014.0810	4469814.5418	350
866014.0810	4470314.5418	349
866014.0810	4470814.5418	348
866014.0810	4471314.5418	347
866014.0810	4471814.5418	346
866014.0810	4472314.5418	345
866014.0810	4472814.5418	344
866014.0810	4473314.5418	344
866014.0810	4473814.5418	342
866014.0810	4474314.5418	341
866014.0810	4474814.5418	340
866014.0810	4475314.5418	340
866014.0810	4475814.5418	340
866014.0810	4476314.5418	340
866014.0810	4476814.5418	341
866014.0810	4477314.5418	341
866014.0810	4477814.5418	342
866014.0810	4478314.5418	343
866014.0810	4478814.5418	344
866014.0810	4479314.5418	340
866014.0810	4479814.5418	340
866014.0810	4480314.5418	340
866014.0810	4480814.5418	340
866014.0810	4481314.5418	340
866014.0810	4481814.5418	342
866014.0810	4482314.5418	343
866014.0810	4482814.5418	344
866014.0810	4483314.5418	344
866014.0810	4483814.5418	344
866014.0810	4484314.5418	345
866014.0810	4484814.5418	350
866014.0810	4485314.5418	349
866014.0810	4485814.5418	349
866014.0810	4486314.5418	350
866014.0810	4486814.5418	348
866014.0810	4487314.5418	347
866014.0810	4487814.5418	347
866014.0810	4488314.5418	347
866014.0810	4488814.5418	347
866014.0810	4489314.5418	347
866014.0810	4489814.5418	348
866014.0810	4490314.5418	350
866014.0810	4490814.5418	355
866014.0810	4491314.5418	354
866014.0810	4491814.5418	355
866014.0810	4492314.5418	354
866014.0810	4492814.5418	354
866014.0810	4493314.5418	355
866014.0810	4493814.5418	357
866014.0810	4494314.5418	357
866014.0810	4494814.5418	357
866014.0810	4495314.5418	359
866014.0810	4495814.5418	359
866014.0810	4496314.5418	359
866014.0810	4496814.5418	362
866014.0810	4497314.5418	361
866014.0810	4497814.5418	361
866014.0810	4498314.5418	361
866014.0810	4498814.5418	362
866014.0810	4499314.5418	363
866014.0810	4499814.5418	364
866014.0810	4500314.5418	365
866514.0810	4430314.5418	299
866514.0810	4430814.5418	299
866514.0810	4431314.5418	299
866514.0810	4431814.5418	299
866514.0810	4432314.5418	299
866514.0810	4432814.5418	299
866514.0810	4433314.5418	299
866514.0810	4433814.5418	299
866514.0810	4434314.5418	301
866514.0810	4434814.5418	300
866514.0810	4435314.5418	299
866514.0810	4435814.5418	298
866514.0810	4436314.5418	297
866514.0810	4436814.5418	297
866514.0810	4437314.5418	296
866514.0810	4437814.5418	296
866514.0810	4438314.5418	297
866514.0810	4438814.5418	296
866514.0810	4439314.5418	297
866514.0810	4439814.5418	301
866514.0810	4440314.5418	300
866514.0810	4440814.5418	299
866514.0810	4441314.5418	299
866514.0810	4441814.5418	298
866514.0810	4442314.5418	298
866514.0810	4442814.5418	299
866514.0810	4443314.5418	298
866514.0810	4443814.5418	298
866514.0810	4444314.5418	298
866514.0810	4444814.5418	298
866514.0810	4445314.5418	299
866514.0810	4454314.5418	316
866514.0810	4454814.5418	316
866514.0810	4455314.5418	316
866514.0810	4455814.5418	316
866514.0810	4456314.5418	316
866514.0810	4456814.5418	316
866514.0810	4457314.5418	316
866514.0810	4457814.5418	317
866514.0810	4458314.5418	316
866514.0810	4458814.5418	316
866514.0810	4459314.5418	316
866514.0810	4459814.5418	316
866514.0810	4460314.5418	316
866514.0810	4460814.5418	316
866514.0810	4461314.5418	316
866514.0810	4461814.5418	316
866514.0810	4462314.5418	316
866514.0810	4462814.5418	316
866514.0810	4463314.5418	316
866514.0810	4463814.5418	316
866514.0810	4467314.5418	318
866514.0810	4467814.5418	318
866514.0810	4468314.5418	318
866514.0810	4468814.5418	318
866514.0810	4469314.5418	318
866514.0810	4469814.5418	350
866514.0810	4470314.5418	349
866514.0810	4470814.5418	348
866514.0810	4471314.5418	347
866514.0810	4471814.5418	346
866514.0810	4472314.5418	345
866514.0810	4472814.5418	345
866514.0810	4473314.5418	343
866514.0810	4473814.5418	342
866514.0810	4474314.5418	341
866514.0810	4474814.5418	340
866514.0810	4475314.5418	339
866514.0810	4475814.5418	339
866514.0810	4476314.5418	339
866514.0810	4476814.5418	340
866514.0810	4477314.5418	341
866514.0810	4477814.5418	342
866514.0810	4478314.5418	343
866514.0810	4478814.5418	344
866514.0810	4479314.5418	339
866514.0810	4479814.5418	339
866514.0810	4480314.5418	339
866514.0810	4480814.5418	339
866514.0810	4481314.5418	341
866514.0810	4481814.5418	341
866514.0810	4482314.5418	342
866514.0810	4482814.5418	343
866514.0810	4483314.5418	343
866514.0810	4483814.5418	344
866514.0810	4484314.5418	344
866514.0810	4484814.5418	350
866514.0810	4485314.5418	349
866514.0810	4485814.5418	348
866514.0810	4486314.5418	348
866514.0810	4486814.5418	347
866514.0810	4487314.5418	346
866514.0810	4487814.5418	346
866514.0810	4488314.5418	346
866514.0810	4488814.5418	346
866514.0810	4489314.5418	347
866514.0810	4489814.5418	347
866514.0810	4490314.5418	348
866514.0810	4490814.5418	354
866514.0810	4491314.5418	353
866514.0810	4491814.5418	354
866514.0810	4492314.5418	353
866514.0810	4492814.5418	354
866514.0810	4493314.5418	355
866514.0810	4493814.5418	356
866514.0810	4494314.5418	356
866514.0810	4494814.5418	357
866514.0810	4495314.5418	359
866514.0810	4495814.5418	358
866514.0810	4496314.5418	358
866514.0810	4496814.5418	359
866514.0810	4497314.5418	359
866514.0810	4497814.5418	360
866514.0810	4498314.5418	361
866514.0810	4498814.5418	363
866514.0810	4499314.5418	364
866514.0810	4499814.5418	364
866514.0810	4500314.5418	365
867014.0810	4429814.5418	298
867014.0810	4430314.5418	298
867014.0810	4430814.5418	298
867014.0810	4431314.5418	298
867014.0810	4431814.5418	298
867014.0810	4432314.5418	298
867014.0810	4432814.5418	298
867014.0810	4433314.5418	298
867014.0810	4433814.5418	298
867014.0810	4434314.5418	298
867014.0810	4434814.5418	300
867014.0810	4435314.5418	299
867014.0810	4435814.5418	298
867014.0810	4436314.5418	297
867014.0810	4436814.5418	296
867014.0810	4437314.5418	295
867014.0810	4437814.5418	295
867014.0810	4438314.5418	295
867014.0810	4438814.5418	296
867014.0810	4439314.5418	297
867014.0810	4439814.5418	301
867014.0810	4440314.5418	301
867014.0810	4440814.5418	299
867014.0810	4441314.5418	298
867014.0810	4441814.5418	297
867014.0810	4442314.5418	298
867014.0810	4442814.5418	299
867014.0810	4443314.5418	298
867014.0810	4443814.5418	297
867014.0810	4444314.5418	297
867014.0810	4444814.5418	298
867014.0810	4445314.5418	299
867014.0810	4445814.5418	299
867014.0810	4454314.5418	317
867014.0810	4454814.5418	315
867014.0810	4455314.5418	315
867014.0810	4455814.5418	315
867014.0810	4456314.5418	315
867014.0810	4456814.5418	315
867014.0810	4457314.5418	316
867014.0810	4457814.5418	317
867014.0810	4458314.5418	316
867014.0810	4458814.5418	315
867014.0810	4459314.5418	315
867014.0810	4459814.5418	315
867014.0810	4460314.5418	315
867014.0810	4460814.5418	315
867014.0810	4461314.5418	315
867014.0810	4461814.5418	315
867014.0810	4462314.5418	315
867014.0810	4462814.5418	315
867014.0810	4463314.5418	315
867014.0810	4463814.5418	315
867014.0810	4464314.5418	315
867014.0810	4466814.5418	317
867014.0810	4467314.5418	317
867014.0810	4467814.5418	317
867014.0810	4468314.5418	317
867014.0810	4468814.5418	317
867014.0810	4469314.5418	317
867014.0810	4469814.5418	322
867014.0810	4470314.5418	349
867014.0810	4470814.5418	348
867014.0810	4471314.5418	347
867014.0810	4471814.5418	346
867014.0810	4472314.5418	346
867014.0810	4472814.5418	342
867014.0810	4473314.5418	341
867014.0810	4473814.5418	340
867014.0810	4474314.5418	340
867014.0810	4474814.5418	339
867014.0810	4475314.5418	338
867014.0810	4475814.5418	338
867014.0810	4476314.5418	337
867014.0810	4476814.5418	338
867014.0810	4477314.5418	341
867014.0810	4477814.5418	336
867014.0810	4478314.5418	336
867014.0810	4478814.5418	337
867014.0810	4479314.5418	337
867014.0810	4479814.5418	338
867014.0810	4480314.5418	338
867014.0810	4480814.5418	339
867014.0810	4481314.5418	340
867014.0810	4481814.5418	340
867014.0810	4482314.5418	341
867014.0810	4482814.5418	342
867014.0810	4483314.5418	343
867014.0810	4483814.5418	344
867014.0810	4484314.5418	343
867014.0810	4484814.5418	343
867014.0810	4485314.5418	349
867014.0810	4485814.5418	348
867014.0810	4486314.5418	347
867014.0810	4486814.5418	346
867014.0810	4487314.5418	345
867014.0810	4487814.5418	345
867014.0810	4488314.5418	345
867014.0810	4488814.5418	345
867014.0810	4489314.5418	346
867014.0810	4489814.5418	347
867014.0810	4490314.5418	349
867014.0810	4490814.5418	349
867014.0810	4491314.5418	352
867014.0810	4491814.5418	352
867014.0810	4492314.5418	352
867014.0810	4492814.5418	353
867014.0810	4493314.5418	355
867014.0810	4493814.5418	355
867014.0810	4494314.5418	356
867014.0810	4494814.5418	356
867014.0810	4495314.5418	356
867014.0810	4495814.5418	358
867014.0810	4496314.5418	357
867014.0810	4496814.5418	358
867014.0810	4497314.5418	359
867014.0810	4497814.5418	360
867014.0810	4498314.5418	362
867014.0810	4498814.5418	362
867014.0810	4499314.5418	365
867014.0810	4499814.5418	365
867014.0810	4500314.5418	366
867514.0810	4429314.5418	298
867514.0810	4429814.5418	297
867514.0810	4430314.5418	297
867514.0810	4430814.5418	297
867514.0810	4431314.5418	297
867514.0810	4431814.5418	297
867514.0810	4432314.5418	297
867514.0810	4432814.5418	297
867514.0810	4433314.5418	297
867514.0810	4433814.5418	297
867514.0810	4434314.5418	298
867514.0810	4434814.5418	294
867514.0810	4435314.5418	299
867514.0810	4435814.5418	298
867514.0810	4436314.5418	297
867514.0810	4436814.5418	297
867514.0810	4437314.5418	295
867514.0810	4437814.5418	294
867514.0810	4438314.5418	295
867514.0810	4438814.5418	294
867514.0810	4439314.5418	294
867514.0810	4439814.5418	295
867514.0810	4440314.5418	298
867514.0810	4440814.5418	299
867514.0810	4441314.5418	297
867514.0810	4441814.5418	296
867514.0810	4442314.5418	297
867514.0810	4442814.5418	298
867514.0810	4443314.5418	297
867514.0810	4443814.5418	296
867514.0810	4444314.5418	297
867514.0810	4444814.5418	298
867514.0810	4445314.5418	298
867514.0810	4445814.5418	299
867514.0810	4446314.5418	300
867514.0810	4454314.5418	316
867514.0810	4454814.5418	315
867514.0810	4455314.5418	314
867514.0810	4455814.5418	314
867514.0810	4456314.5418	314
867514.0810	4456814.5418	315
867514.0810	4457314.5418	316
867514.0810	4457814.5418	314
867514.0810	4458314.5418	314
867514.0810	4458814.5418	315
867514.0810	4459314.5418	314
867514.0810	4459814.5418	314
867514.0810	4460314.5418	314
