dt	dushikou	gangfangyao	maying	maoyupu	hulonggou	yunzhousk	zhenanpu	zhenningpu	yangtian	zhuanlou	paoliang	longguan	tianjiayao	dongshanmiao	diaoe	shangzhuangzi	nanbuzi	xiapu	baihepu	wanquansi	shicao	qianjiadian	heilongshan	qingyanggou	baichao	sidaogou	dongwankou	qiansongtai	hedaziying	dongmao	sandaoying	sihai	baoshansi	daodekeng	dengjiashanzi	sandaohe	labagoumen	xiaoliangqian	changshaoying	tanghekou	qifengcha	liulimiao	zhangjiafen
1990-1-30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-1-31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-2-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-2-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-2-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-2-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-2-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-2-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-2-7	0.3	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-2-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-2-9	0	0	0	0	0	0.1	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-2-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-2-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-2-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-2-13	1.1	0.3	2.4	2.1	1.4	2.0	3.1	2.0	1.3	1.1	0.5	1.1	2.1	0.8	0.9	2.1	2.9	3.7	2.5	2.9	3.1	0.7	2.5	9.0	4.7	1.9	4.1	3.7	1.9	2.5	1.4	3.2	0	0	0.3	0.5	2.7	0.8	2.6	1.5	0	4.5	2.8
1990-2-14	0.9	0.5	0.5	1.1	1.1	0.4	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.8	0.6	0.3	3.0	0	1.3	0.2	0	0.2	0	0.2	0	0	2.1	0	0	0.8	0.4	0.9	0.5	0	0.9	0.8
1990-2-15	0	0	0.3	0	0	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6	0	0	0	0	0	0	0	0	0
1990-2-16	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	2.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-2-17	1.6	0.2	3.2	1.9	2.3	3.7	2.0	1.6	2.1	2.9	2.8	2.5	3.9	3.0	1.0	2.7	6.4	7.6	2.9	5.5	5.2	4.4	3.6	8.0	2.8	2.4	3.7	2.9	4.5	4.5	6.2	0	0	3.4	1.9	3.6	1.0	5.5	1.8	4.6	0	5.8	5.9
1990-2-18	0	1.3	0	1.5	0	0.9	1.9	2.0	1.4	2.8	1.5	0.7	0.9	1.2	2.5	3.4	1.1	1.5	4.7	1.3	1.7	0	1.6	3.0	1.6	2.3	1.6	3.4	1.5	1.8	1.4	4.2	0	3.6	2.2	1.5	1.5	1.3	1.2	3.0	0	3.7	2.3
1990-2-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5	0	0	0	0	0	0
1990-2-20	1.3	0.7	0	1.8	1.5	0.7	0.9	2.1	3.3	1.8	1.6	0.5	2.0	1.8	1.0	1.3	0	2.2	0	3.4	4.8	3.0	3.9	6.0	2.5	3.7	1.2	2.6	2.0	1.0	1.7	1.8	0	2.4	0.2	0.5	0.6	2.1	1.6	2.6	0	2.1	2.2
1990-2-21	2.1	0.9	3.0	1.2	3.2	2.5	2.3	0.4	0.9	2.6	0.9	0.6	0.9	1.1	1.4	1.6	1.3	2.6	3.7	1.4	1.7	2.5	0.4	3.0	1.5	1.5	1.2	1.1	1.6	1.6	1.1	0	0	0	2.7	1.5	2.4	0.6	0.2	0.6	0	0	1.2
1990-2-22	0	0.3	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0.1	1.3	0.4	0.2	0	0	0	0	0	0	0.8	0	0	0	0	0	0.5	0.4	0	0	0	0	0	0	0	0
1990-2-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.7	0
1990-2-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-2-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-2-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-2-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-2-28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-3-1	0.2	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-3-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-3-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-3-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-3-5	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-3-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-3-7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-3-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-3-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-3-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-3-11	0	0.2	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-3-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0
