station	dt	qobs	qcal	pmean	wmean	eta	ep	temp	tempmax	tempmin
zhangjiafen	1960-3-13	18.300	10.000	0	100.000	0.100	1.700	0	0	0
zhangjiafen	1960-3-14	19.400	10.000	0	100.000	0.100	1.700	0	0	0
zhangjiafen	1960-3-15	20.000	10.000	0	100.000	0.100	2.300	0	0	0
zhangjiafen	1960-3-16	21.200	10.000	0	100.000	0.100	2.200	0	0	0
zhangjiafen	1960-3-17	22.300	10.000	0.100	100.000	0.100	2.200	0	0	0
zhangjiafen	1960-3-18	22.300	10.000	0.200	100.000	0.100	2.500	0	0	0
zhangjiafen	1960-3-19	22.900	10.000	0.100	100.000	0.100	2.700	0	0	0
zhangjiafen	1960-3-20	23.500	10.000	0.300	100.000	0.100	1.400	0	0	0
zhangjiafen	1960-3-21	21.700	10.000	0.200	100.000	0.100	3.000	0	0	0
zhangjiafen	1960-3-22	20.600	10.000	1.400	100.000	0.100	2.200	0	0	0
zhangjiafen	1960-3-23	21.700	10.000	0	100.000	0.100	2.400	0	0	0
zhangjiafen	1960-3-24	20.000	10.000	0.100	100.000	0.100	2.300	0	0	0
zhangjiafen	1960-3-25	20.000	10.000	0	100.000	0.100	2.600	0	0	0
zhangjiafen	1960-3-26	19.400	10.000	0	100.000	0.100	2.500	0	0	0
zhangjiafen	1960-3-27	19.400	10.000	0	100.000	0.100	2.200	0	0	0
zhangjiafen	1960-3-28	19.400	10.000	0	100.000	0.100	2.400	0	0	0
zhangjiafen	1960-3-29	21.200	10.000	0	100.000	0.100	2.700	0	0	0
zhangjiafen	1960-3-30	20.600	10.000	0	100.000	0.100	2.200	0	0	0
zhangjiafen	1960-3-31	20.000	10.000	0	100.000	0.100	1.400	0	0	0
zhangjiafen	1960-4-1	19.400	10.000	0	100.000	0.100	4.900	0	0	0
zhangjiafen	1960-4-2	19.400	10.000	0	100.000	0.100	5.700	0	0	0
zhangjiafen	1960-4-3	20.000	10.000	0	100.000	0.100	3.600	0	0	0
zhangjiafen	1960-4-4	19.400	10.000	0	100.000	0.100	4.800	0	0	0
zhangjiafen	1960-4-5	19.400	10.000	0	100.000	0.100	5.100	0	0	0
zhangjiafen	1960-4-6	20.000	10.000	0	100.000	0.100	4.000	0	0	0
zhangjiafen	1960-4-7	19.400	10.000	0	100.000	0.100	4.600	0	0	0
zhangjiafen	1960-4-8	20.000	10.000	0	100.000	0.100	4.900	0	0	0
zhangjiafen	1960-4-9	19.400	10.000	0	100.000	0.100	5.200	0	0	0
zhangjiafen	1960-4-10	20.000	10.000	0.100	100.000	0.100	6.700	0	0	0
zhangjiafen	1960-4-11	18.900	10.000	0.100	100.000	0.100	6.200	0	0	0
zhangjiafen	1960-4-12	20.000	10.000	1.000	100.000	0.100	4.200	0	0	0
zhangjiafen	1960-4-13	20.600	10.000	0.100	100.000	0.100	4.800	0	0	0
zhangjiafen	1960-4-14	20.000	10.000	0	100.000	0.100	4.000	0	0	0
zhangjiafen	1960-4-15	20.000	10.000	0	100.000	0.100	4.500	0	0	0
zhangjiafen	1960-4-16	20.000	10.000	0	100.000	0.100	3.700	0	0	0
zhangjiafen	1960-4-17	20.000	10.000	0	100.000	0.100	3.800	0	0	0
zhangjiafen	1960-4-18	19.400	10.000	0.100	100.000	0.100	4.600	0	0	0
zhangjiafen	1960-4-19	20.600	10.000	0	100.000	0.100	3.400	0	0	0
zhangjiafen	1960-4-20	20.000	10.000	0	100.000	0.100	2.200	0	0	0
zhangjiafen	1960-4-21	20.000	10.000	0	100.000	0.100	4.200	0	0	0
zhangjiafen	1960-4-22	19.400	10.000	0	100.000	0.100	3.000	0	0	0
zhangjiafen	1960-4-23	19.400	10.000	0	100.000	0.100	6.400	0	0	0
zhangjiafen	1960-4-24	19.400	10.000	0	100.000	0.100	6.700	0	0	0
zhangjiafen	1960-4-25	18.900	10.000	0	100.000	0.100	8.100	0	0	0
zhangjiafen	1960-4-26	18.900	10.000	0	100.000	0.100	6.200	0	0	0
zhangjiafen	1960-4-27	18.900	10.000	0	100.000	0.100	4.200	0	0	0
zhangjiafen	1960-4-28	18.300	10.000	0	100.000	0.100	4.800	0	0	0
zhangjiafen	1960-4-29	17.200	10.000	0	100.000	0.100	4.700	0	0	0
zhangjiafen	1960-4-30	16.600	10.000	0	100.000	0.100	4.800	0	0	0
zhangjiafen	1960-5-1	16.100	10.000	0	100.000	0.100	4.500	0	0	0
zhangjiafen	1960-5-2	16.100	10.000	0.700	100.000	0.100	5.900	0	0	0
zhangjiafen	1960-5-3	15.600	10.000	0	100.000	0.100	4.500	0	0	0
zhangjiafen	1960-5-4	14.600	10.000	0	100.000	0.100	5.000	0	0	0
zhangjiafen	1960-5-5	15.100	10.000	0	100.000	0.100	3.500	0	0	0
zhangjiafen	1960-5-6	15.100	10.000	0	100.000	0.100	5.200	0	0	0
zhangjiafen	1960-5-7	15.100	10.000	0	100.000	0.100	6.500	0	0	0
zhangjiafen	1960-5-8	15.100	10.000	0.100	100.000	0.100	6.700	0	0	0
zhangjiafen	1960-5-9	15.100	10.000	0.800	100.000	0.100	6.300	0	0	0
zhangjiafen	1960-5-10	14.600	10.000	0	100.000	0.100	7.100	0	0	0
zhangjiafen	1960-5-11	14.600	10.000	0	100.000	0.100	7.100	0	0	0
zhangjiafen	1960-5-12	14.600	10.000	0	100.000	0.100	5.500	0	0	0
zhangjiafen	1960-5-13	14.000	10.000	0.200	100.000	0.100	6.100	0	0	0
zhangjiafen	1960-5-14	13.500	10.000	4.800	100.000	0.100	7.100	0	0	0
zhangjiafen	1960-5-15	14.600	10.000	0.900	100.000	0.100	8.600	0	0	0
zhangjiafen	1960-5-16	15.100	10.000	1.700	100.000	0.100	8.400	0	0	0
zhangjiafen	1960-5-17	14.000	10.000	0	100.000	0.100	6.000	0	0	0
zhangjiafen	1960-5-18	14.600	10.000	0	100.000	0.100	4.500	0	0	0
zhangjiafen	1960-5-19	13.500	10.000	0.300	100.000	0.100	6.300	0	0	0
zhangjiafen	1960-5-20	13.000	10.000	0	100.000	0.100	6.600	0	0	0
zhangjiafen	1960-5-21	12.500	10.000	0.100	100.000	0.100	7.000	0	0	0
zhangjiafen	1960-5-22	13.000	10.000	0	100.000	0.100	7.100	0	0	0
zhangjiafen	1960-5-23	12.500	10.000	0	100.000	0.100	4.500	0	0	0
zhangjiafen	1960-5-24	12.500	10.000	0.100	100.000	0.100	6.000	0	0	0
zhangjiafen	1960-5-25	11.500	10.000	1.200	100.000	0.100	7.100	0	0	0
zhangjiafen	1960-5-26	14.600	10.000	8.600	100.000	0.100	6.200	0	0	0
zhangjiafen	1960-5-27	20.000	10.000	0.400	100.000	0.100	6.500	0	0	0
zhangjiafen	1960-5-28	16.600	10.000	0	100.000	0.100	5.900	0	0	0
zhangjiafen	1960-5-29	14.600	10.000	0	100.000	0.100	7.300	0	0	0
zhangjiafen	1960-5-30	12.000	10.000	0	100.000	0.100	7.500	0	0	0
zhangjiafen	1960-5-31	12.000	10.000	0.600	100.000	0.100	7.500	0	0	0
zhangjiafen	1960-6-1	12.000	10.000	1.000	100.000	0.100	5.400	0	0	0
zhangjiafen	1960-6-2	12.000	10.000	1.800	100.000	0.100	4.600	0	0	0
zhangjiafen	1960-6-3	13.000	10.000	0.200	100.000	0.100	5.700	0	0	0
zhangjiafen	1960-6-4	13.000	10.000	0	100.000	0.100	6.200	0	0	0
zhangjiafen	1960-6-5	12.000	10.000	0.100	100.000	0.100	4.800	0	0	0
zhangjiafen	1960-6-6	12.000	10.000	0.400	100.000	0.100	4.400	0	0	0
zhangjiafen	1960-6-7	13.000	10.000	0.700	100.000	0.100	4.700	0	0	0
zhangjiafen	1960-6-8	13.000	10.000	0	100.000	0.100	4.000	0	0	0
zhangjiafen	1960-6-9	9.600	10.000	3.200	100.000	0.100	5.400	0	0	0
zhangjiafen	1960-6-10	10.500	10.000	3.600	100.000	0.100	3.700	0	0	0
zhangjiafen	1960-6-11	12.500	10.000	5.800	100.000	0.100	4.700	0	0	0
zhangjiafen	1960-6-12	15.100	10.000	1.700	100.000	0.100	5.600	0	0	0
zhangjiafen	1960-6-13	22.600	10.000	0.300	100.000	0.100	5.700	0	0	0
zhangjiafen	1960-6-14	25.400	10.000	1.600	100.000	0.100	3.900	0	0	0
zhangjiafen	1960-6-15	25.000	10.000	0.500	100.000	0.100	4.900	0	0	0
zhangjiafen	1960-6-16	19.500	10.000	1.700	100.000	0.100	4.800	0	0	0
zhangjiafen	1960-6-17	23.500	10.000	0.300	100.000	0.100	6.000	0	0	0
zhangjiafen	1960-6-18	20.500	10.000	0.400	100.000	0.100	4.800	0	0	0
zhangjiafen	1960-6-19	19.500	10.000	0	100.000	0.100	2.800	0	0	0
zhangjiafen	1960-6-20	16.500	10.000	0.100	100.000	0.100	4.500	0	0	0
zhangjiafen	1960-6-21	13.800	10.000	0.500	100.000	0.100	4.700	0	0	0
zhangjiafen	1960-6-22	15.600	10.000	0.100	100.000	0.100	5.900	0	0	0
zhangjiafen	1960-6-23	13.800	10.000	0	100.000	0.100	7.400	0	0	0
zhangjiafen	1960-6-24	12.700	10.000	1.100	100.000	0.100	7.300	0	0	0
zhangjiafen	1960-6-25	12.700	10.000	0.900	100.000	0.100	6.700	0	0	0
zhangjiafen	1960-6-26	13.000	10.000	7.100	100.000	0.100	6.900	0	0	0
zhangjiafen	1960-6-27	18.800	10.000	15.300	100.000	0.100	6.100	0	0	0
zhangjiafen	1960-6-28	32.300	10.000	1.800	100.000	0.100	5.000	0	0	0
zhangjiafen	1960-6-29	22.600	10.000	0	100.000	0.100	6.900	0	0	0
zhangjiafen	1960-6-30	17.500	10.000	0.600	100.000	0.100	5.600	0	0	0
zhangjiafen	1960-7-1	16.000	10.000	1.000	100.000	0.100	7.500	0	0	0
zhangjiafen	1960-7-2	14.500	10.000	0	100.000	0.100	6.300	0	0	0
zhangjiafen	1960-7-3	14.900	10.000	0	100.000	0.100	6.300	0	0	0
zhangjiafen	1960-7-4	14.900	10.000	1.800	100.000	0.100	8.000	0	0	0
zhangjiafen	1960-7-5	14.800	10.000	26.300	100.000	0.100	5.400	0	0	0
zhangjiafen	1960-7-6	107.000	10.000	5.700	100.000	0.100	5.300	0	0	0
zhangjiafen	1960-7-7	53.300	10.000	0	100.000	0.100	3.300	0	0	0
zhangjiafen	1960-7-8	28.900	10.000	0	100.000	0.100	4.600	0	0	0
zhangjiafen	1960-7-9	22.800	10.000	0.600	100.000	0.100	6.300	0	0	0
zhangjiafen	1960-7-10	20.500	10.000	3.300	100.000	0.100	7.600	0	0	0
zhangjiafen	1960-7-11	24.400	10.000	0.500	100.000	0.100	6.100	0	0	0
zhangjiafen	1960-7-12	32.100	10.000	4.100	100.000	0.100	5.500	0	0	0
zhangjiafen	1960-7-13	26.400	10.000	0	100.000	0.100	5.200	0	0	0
zhangjiafen	1960-7-14	22.000	10.000	2.900	100.000	0.100	4.300	0	0	0
zhangjiafen	1960-7-15	21.200	10.000	57.200	100.000	0.100	6.700	0	0	0
zhangjiafen	1960-7-16	264.000	10.000	2.300	100.000	0.100	5.000	0	0	0
zhangjiafen	1960-7-17	120.000	10.000	0	100.000	0.100	5.600	0	0	0
zhangjiafen	1960-7-18	57.600	10.000	0.100	100.000	0.100	5.300	0	0	0
zhangjiafen	1960-7-19	41.700	10.000	16.700	100.000	0.100	5.300	0	0	0
zhangjiafen	1960-7-20	105.000	10.000	7.300	100.000	0.100	4.600	0	0	0
zhangjiafen	1960-7-21	56.800	10.000	0.100	100.000	0.100	4.500	0	0	0
zhangjiafen	1960-7-22	45.100	10.000	2.100	100.000	0.100	4.000	0	0	0
zhangjiafen	1960-7-23	37.000	10.000	0	100.000	0.100	4.500	0	0	0
zhangjiafen	1960-7-24	35.000	10.000	1.400	100.000	0.100	4.800	0	0	0
zhangjiafen	1960-7-25	29.000	10.000	0.200	100.000	0.100	5.200	0	0	0
zhangjiafen	1960-7-26	27.400	10.000	0.800	100.000	0.100	4.400	0	0	0
zhangjiafen	1960-7-27	29.000	10.000	0.400	100.000	0.100	4.300	0	0	0
zhangjiafen	1960-7-28	24.200	10.000	4.000	100.000	0.100	5.500	0	0	0
zhangjiafen	1960-7-29	24.200	10.000	1.300	100.000	0.100	6.200	0	0	0
zhangjiafen	1960-7-30	24.200	10.000	9.900	100.000	0.100	6.500	0	0	0
zhangjiafen	1960-7-31	28.200	10.000	3.800	100.000	0.100	5.400	0	0	0
zhangjiafen	1960-8-1	27.400	10.000	0	100.000	0.100	4.400	0	0	0
zhangjiafen	1960-8-2	26.600	10.000	4.900	100.000	0.100	4.700	0	0	0
zhangjiafen	1960-8-3	34.000	10.000	1.400	100.000	0.100	4.600	0	0	0
zhangjiafen	1960-8-4	27.400	10.000	1.200	100.000	0.100	4.000	0	0	0
zhangjiafen	1960-8-5	24.200	10.000	0	100.000	0.100	4.500	0	0	0
zhangjiafen	1960-8-6	21.000	10.000	0.700	100.000	0.100	4.800	0	0	0
zhangjiafen	1960-8-7	20.500	10.000	10.800	100.000	0.100	4.500	0	0	0
zhangjiafen	1960-8-8	29.000	10.000	0.100	100.000	0.100	3.500	0	0	0
zhangjiafen	1960-8-9	23.400	10.000	0	100.000	0.100	2.800	0	0	0
zhangjiafen	1960-8-10	20.000	10.000	0.100	100.000	0.100	4.100	0	0	0
zhangjiafen	1960-8-11	19.500	10.000	3.200	100.000	0.100	4.600	0	0	0
zhangjiafen	1960-8-12	20.500	10.000	0.300	100.000	0.100	5.300	0	0	0
zhangjiafen	1960-8-13	19.000	10.000	0.200	100.000	0.100	5.400	0	0	0
zhangjiafen	1960-8-14	17.000	10.000	1.200	100.000	0.100	3.900	0	0	0
zhangjiafen	1960-8-15	15.600	10.000	1.900	100.000	0.100	3.200	0	0	0
zhangjiafen	1960-8-16	14.900	10.000	3.200	100.000	0.100	3.800	0	0	0
zhangjiafen	1960-8-17	13.800	10.000	0.200	100.000	0.100	4.600	0	0	0
zhangjiafen	1960-8-18	16.500	10.000	4.500	100.000	0.100	4.600	0	0	0
zhangjiafen	1960-8-19	16.500	10.000	4.700	100.000	0.100	3.800	0	0	0
zhangjiafen	1960-8-20	20.000	10.000	1.900	100.000	0.100	4.000	0	0	0
zhangjiafen	1960-8-21	20.000	10.000	4.400	100.000	0.100	4.400	0	0	0
zhangjiafen	1960-8-22	19.000	10.000	0.600	100.000	0.100	4.300	0	0	0
zhangjiafen	1960-8-23	19.000	10.000	0	100.000	0.100	5.500	0	0	0
zhangjiafen	1960-8-24	17.500	10.000	0	100.000	0.100	4.500	0	0	0
zhangjiafen	1960-8-25	16.500	10.000	0.300	100.000	0.100	4.500	0	0	0
zhangjiafen	1960-8-26	16.000	10.000	0	100.000	0.100	5.000	0	0	0
zhangjiafen	1960-8-27	15.600	10.000	3.600	100.000	0.100	2.800	0	0	0
zhangjiafen	1960-8-28	16.500	10.000	0.100	100.000	0.100	3.700	0	0	0
zhangjiafen	1960-8-29	17.000	10.000	0.800	100.000	0.100	4.200	0	0	0
zhangjiafen	1960-8-30	17.000	10.000	4.500	100.000	0.100	4.800	0	0	0
zhangjiafen	1960-8-31	17.500	10.000	0.300	100.000	0.100	4.100	0	0	0
zhangjiafen	1960-9-1	18.500	10.000	9.600	100.000	0.100	5.400	0	0	0
zhangjiafen	1960-9-2	25.800	10.000	1.100	100.000	0.100	5.600	0	0	0
zhangjiafen	1960-9-3	24.200	10.000	0	100.000	0.100	4.600	0	0	0
zhangjiafen	1960-9-4	21.800	10.000	0	100.000	0.100	5.200	0	0	0
zhangjiafen	1960-9-5	20.000	10.000	0	100.000	0.100	6.100	0	0	0
zhangjiafen	1960-9-6	19.000	10.000	0	100.000	0.100	4.000	0	0	0
zhangjiafen	1960-9-7	18.000	10.000	0	100.000	0.100	4.900	0	0	0
zhangjiafen	1960-9-8	18.000	10.000	1.200	100.000	0.100	3.900	0	0	0
zhangjiafen	1960-9-9	17.500	10.000	1.600	100.000	0.100	2.800	0	0	0
zhangjiafen	1960-9-10	18.000	10.000	0.300	100.000	0.100	3.100	0	0	0
zhangjiafen	1960-9-11	20.000	10.000	0.300	100.000	0.100	2.700	0	0	0
zhangjiafen	1960-9-12	18.000	10.000	7.500	100.000	0.100	1.600	0	0	0
zhangjiafen	1960-9-13	18.500	10.000	1.700	100.000	0.100	3.200	0	0	0
zhangjiafen	1960-9-14	18.500	10.000	0	100.000	0.100	3.500	0	0	0
zhangjiafen	1960-9-15	18.000	10.000	0	100.000	0.100	4.700	0	0	0
zhangjiafen	1960-9-16	17.000	10.000	0	100.000	0.100	4.500	0	0	0
zhangjiafen	1960-9-17	17.000	10.000	0	100.000	0.100	5.100	0	0	0
zhangjiafen	1960-9-18	16.500	10.000	0	100.000	0.100	4.100	0	0	0
zhangjiafen	1960-9-19	16.000	10.000	0	100.000	0.100	3.300	0	0	0
zhangjiafen	1960-9-20	16.000	10.000	0.100	100.000	0.100	4.200	0	0	0
zhangjiafen	1960-9-21	15.300	10.000	1.200	100.000	0.100	4.600	0	0	0
zhangjiafen	1960-9-22	14.900	10.000	12.600	100.000	0.100	4.700	0	0	0
zhangjiafen	1960-9-23	24.200	10.000	1.700	100.000	0.100	3.500	0	0	0
zhangjiafen	1960-9-24	28.200	10.000	0	100.000	0.100	3.800	0	0	0
zhangjiafen	1960-9-25	22.600	10.000	1.600	100.000	0.100	4.400	0	0	0
zhangjiafen	1960-9-26	21.000	10.000	6.500	100.000	0.100	4.200	0	0	0
zhangjiafen	1960-9-27	23.400	10.000	1.000	100.000	0.100	4.600	0	0	0
zhangjiafen	1960-9-28	22.500	10.000	15.900	100.000	0.100	4.800	0	0	0
zhangjiafen	1960-9-29	33.000	10.000	1.600	100.000	0.100	4.200	0	0	0
zhangjiafen	1960-9-30	28.200	10.000	0.500	100.000	0.100	4.700	0	0	0
zhangjiafen	1960-10-1	22.600	10.000	0	100.000	0.100	2.000	0	0	0
zhangjiafen	1960-10-2	20.000	10.000	0	100.000	0.100	1.200	0	0	0
zhangjiafen	1960-10-3	19.500	10.000	0.200	100.000	0.100	1.000	0	0	0
zhangjiafen	1960-10-4	19.500	10.000	0	100.000	0.100	1.800	0	0	0
zhangjiafen	1960-10-5	19.000	10.000	0	100.000	0.100	2.100	0	0	0
zhangjiafen	1960-10-6	18.500	10.000	0	100.000	0.100	2.100	0	0	0
zhangjiafen	1960-10-7	18.500	10.000	0	100.000	0.100	1.900	0	0	0
zhangjiafen	1960-10-8	17.500	10.000	0.200	100.000	0.100	1.200	0	0	0
zhangjiafen	1960-10-9	17.500	10.000	1.000	100.000	0.100	1.400	0	0	0
zhangjiafen	1960-10-10	17.500	10.000	0	100.000	0.100	1.000	0	0	0
zhangjiafen	1960-10-11	17.500	10.000	1.100	100.000	0.100	1.000	0	0	0
zhangjiafen	1960-10-12	17.500	10.000	3.700	100.000	0.100	0.700	0	0	0
